# Phase B work queue: the syntax diagnostics nothing provokes (reach.py --list sintaxis, 2026-09-14).
# status: todo | cell (provoked by a refusal cell) | unreachable (with a reason in `note`) | n/a
# class:  diagnostic | help (the `help:` line of a diagnostic, provoked with it) | internal? (to confirm) | token-payload (text inside a TokenKind::Error, not a diagnostic line) | fragment | test | data
status	class	family	message	where	note
cell	diagnostic	B9-expressions-core	expected expression, found end of file	zymbol-parser/src/lib.rs:1528	syntax-expressions/expression-missing-at-end-of-file
cell	diagnostic	B9-expressions-core	expected field name after '.'	zymbol-parser/src/expressions.rs:514	syntax-expressions/pipe-target-member-without-field
cell	diagnostic	B9-expressions-core	expected function name after '::'	zymbol-parser/src/lib.rs:1275	syntax-expressions/module-call-without-function-name
cell	diagnostic	B9-expressions-core	this edit has nothing to write into	zymbol-parser/src/lib.rs:501	syntax-expressions/edit-of-an-edit
cell	diagnostic	B9-expressions-core	unexpected '#(' at statement level	zymbol-parser/src/lib.rs:583	syntax-expressions/dictionary-literal-as-a-statement
unreachable	diagnostic	B9-expressions-core	unexpected end of file	zymbol-parser/src/lib.rs:605	unreachable: parse_statement is only called from loops that stop at the end of the file first (lib.rs:90, :637)
cell	diagnostic	B9-expressions-core	unexpected token after module block	zymbol-parser/src/lib.rs:73	syntax-expressions/module-with-a-statement-after-its-block
cell	help	B9-expressions-core	a module file must contain only: # name { ... }	zymbol-parser/src/lib.rs:75	syntax-expressions/module-with-a-statement-after-its-block
cell	help	B9-expressions-core	array indexing must use brackets: arr[index]	zymbol-parser/src/expressions.rs:499	syntax-expressions/pipe-target-index-left-open
cell	help	B9-expressions-core	function call syntax: expr(arg1, arg2, ...)	zymbol-parser/src/lib.rs:912	syntax-expressions/call-on-an-expression-left-open
cell	help	B9-expressions-core	function call syntax: name(arg1, arg2, ...)	zymbol-parser/src/lib.rs:1370	syntax-expressions/call-by-name-left-open
cell	help	B9-expressions-core	member access requires a field name: object.field	zymbol-parser/src/lib.rs:861	syntax-expressions/pipe-target-member-without-field
cell	help	B9-expressions-core	pipe syntax: value |> func(_)	zymbol-parser/src/expressions.rs:81	syntax-expressions/pipe-arguments-left-open
cell	help	B9-expressions-core	use '#(name: n) = expr' to destructure a dictionary	zymbol-parser/src/lib.rs:585	syntax-expressions/dictionary-literal-as-a-statement
cell	help	B9-expressions-core	use '°x += n' to anchor accumulation above the nearest loop	zymbol-parser/src/lib.rs:558	syntax-expressions/hot-name-outside-an-assignment
