# Phase C work queue: the runtime diagnostics nothing provokes (reach.py --list ejecución, 2026-09-14).
# status: todo | cell (provoked + met by a cell) | manual (provoked by hand; a cell cannot ask it, the command is in `note`) | unreachable (with a reason in `note`) | n/a
# class:  diagnostic | internal? (suspected unreachable, to be confirmed) | fragment (part of another message) | test (a test's own string)
status	class	family	message	where	note
cell	diagnostic	C4-index-nav-dict	invalid nav range {}..{} — indices are 1-based	zymbol-interpreter/src/index_nav.rs:134	runtime-index-nav/invalid-nav-range-indices-are-1-based
unreachable	diagnostic	C4-index-nav-dict	named tuple index out of bounds: index {} for tuple of length {}	zymbol-interpreter/src/expr_eval.rs:440	unreachable: an Int index on a dictionary already returned `addressed by key` above; the source says so (expr_eval.rs:429)
cell	diagnostic	C4-index-nav-dict	navigation index must be an integer, got {:?}	zymbol-interpreter/src/index_nav.rs:195	runtime-index-nav/navigation-index-must-be-an-integer-got
cell	diagnostic	C4-index-nav-dict	no key '{}' in dictionary — it is empty	zymbol-interpreter/src/variables.rs:39	runtime-index-nav/no-key-in-dictionary-it-is-empty
cell	diagnostic	C4-index-nav-dict	range indices in nav path must be positive integers	zymbol-interpreter/src/index_nav.rs:125	runtime-index-nav/range-indices-in-nav-path-must-be
cell	diagnostic	C4-index-nav-dict	string index out of bounds: index {} for string of length {}	zymbol-interpreter/src/expr_eval.rs:475	runtime-index-nav/string-index-out-of-bounds-index-for
cell	diagnostic	C4-index-nav-dict	the dot reaches a dictionary key, and this is {}\nhelp: use d.{} on a #(…) — for a position, use x[1]	zymbol-interpreter/src/expr_eval.rs:239	runtime-index-nav/the-dot-reaches-a-dictionary-key-and — reach.py cannot count it: the template spans two lines
cell	diagnostic	C4-index-nav-dict	the pattern #(…) requires a dictionary, got {}\nhelp: #(key: name) = d unpacks a dictionary; use (a, b) for a tuple, [a, b] for an array	zymbol-interpreter/src/lib.rs:1854	runtime-index-nav/the-pattern-dict-requires-a-dictionary-got — reach.py cannot count it: the template spans two lines
cell	diagnostic	C4-index-nav-dict	tuple index out of bounds: index {} for tuple of length {}	zymbol-interpreter/src/expr_eval.rs:422	runtime-index-nav/tuple-index-out-of-bounds-index-for
unreachable	internal?	C4-index-nav-dict	undefined function index {0}	zymbol-vm/src/lib.rs:559	unreachable: the VM only receives function indices the compiler took from its own table
cell	diagnostic	C5-format-convert	##! requires a numeric value or Char, got {}	zymbol-interpreter/src/data_ops.rs:151	runtime-format-convert/trunc-cast-requires-a-numeric-value-or
cell	diagnostic	C5-format-convert	### requires a numeric value, got {}	zymbol-interpreter/src/data_ops.rs:138	runtime-format-convert/int-cast-requires-a-numeric-value-got
cell	diagnostic	C5-format-convert	base conversion expressions work with char, int, or string, got {:?}	zymbol-interpreter/src/data_ops.rs:372	runtime-format-convert/base-conversion-expressions-work-with-char-int
cell	diagnostic	C5-format-convert	cannot convert string '{}' to number for rounding	zymbol-interpreter/src/data_ops.rs:407	runtime-format-convert/cannot-convert-string-to-number-for-rounding
cell	diagnostic	C5-format-convert	cannot convert string '{}' to number for truncation	zymbol-interpreter/src/data_ops.rs:407	runtime-format-convert/cannot-convert-string-to-number-for-truncation
cell	diagnostic	C5-format-convert	decimal count must be a whole number, got {}	zymbol-interpreter/src/data_ops.rs:218	runtime-format-convert/decimal-count-must-be-a-whole-number
cell	diagnostic	C5-format-convert	decimal count must not be negative, got {}	zymbol-interpreter/src/data_ops.rs:213	runtime-format-convert/decimal-count-must-not-be-negative-got
cell	diagnostic	C5-format-convert	failed to parse '{}' as base-{} number	zymbol-vm/src/lib.rs:3492	runtime-format-convert/failed-to-parse-as-number
cell	diagnostic	C5-format-convert	failed to parse '{}' as {} number	zymbol-interpreter/src/data_ops.rs:340	runtime-format-convert/failed-to-parse-as-number
cell	diagnostic	C5-format-convert	format expressions only work with numbers, got {:?}	zymbol-interpreter/src/data_ops.rs:255	runtime-format-convert/format-expressions-only-work-with-numbers-got
cell	diagnostic	C5-format-convert	integer overflow: {} cannot represent this float	zymbol-interpreter/src/data_ops.rs:91	runtime-format-convert/integer-overflow-cannot-represent-this-float
cell	diagnostic	C5-format-convert	invalid Unicode character code: {}	zymbol-interpreter/src/data_ops.rs:363	runtime-format-convert/invalid-unicode-character-code
cell	diagnostic	C5-format-convert	round expressions only work with numbers or numeric strings, got {:?}	zymbol-interpreter/src/data_ops.rs:417	runtime-format-convert/round-expressions-only-work-with-numbers-or
cell	diagnostic	C5-format-convert	truncate expressions only work with numbers or numeric strings, got {:?}	zymbol-interpreter/src/data_ops.rs:467	runtime-format-convert/truncate-expressions-only-work-with-numbers-or
cell	diagnostic	C6-loops-ranges	@~ requires integer milliseconds, got {}	zymbol-interpreter/src/loops.rs:92	runtime-loops-ranges/requires-integer-milliseconds-got
cell	diagnostic	C6-loops-ranges	@~ requires non-negative duration, got {}	zymbol-interpreter/src/loops.rs:88	runtime-loops-ranges/requires-non-negative-duration-got
cell	diagnostic	C6-loops-ranges	@~ requires non-negative ms, got {}	zymbol-vm/src/lib.rs:3796	runtime-loops-ranges/requires-non-negative-duration-got
cell	diagnostic	C6-loops-ranges	can only iterate over ranges, arrays, strings, tuples and dictionaries, got {:?}	zymbol-interpreter/src/expr_eval.rs:114	runtime-loops-ranges/can-only-iterate-over-ranges-arrays-strings
cell	diagnostic	C6-loops-ranges	character code must be in range 0..0x10FFFF, got {}	zymbol-interpreter/src/data_ops.rs:355	runtime-loops-ranges/character-code-must-be-in-range-0
cell	diagnostic	C6-loops-ranges	range bounds must be integers, got {:?} and {:?}	zymbol-interpreter/src/loops.rs:169	runtime-loops-ranges/range-bounds-must-be-integers-end
cell	diagnostic	C6-loops-ranges	range pattern type mismatch	zymbol-interpreter/src/match_stmt.rs:124	runtime-loops-ranges/range-pattern-type-mismatch
cell	diagnostic	C6-loops-ranges	ranges can only be used in for-each loops	zymbol-interpreter/src/lib.rs:1942	runtime-loops-ranges/ranges-can-only-be-used-in-for
cell	diagnostic	C6-loops-ranges	step must be an integer, got {:?}	zymbol-interpreter/src/expr_eval.rs:57	runtime-loops-ranges/step-must-be-an-integer-got
cell	diagnostic	C6-loops-ranges	step must be positive, got {}	zymbol-interpreter/src/loops.rs:154	runtime-loops-ranges/step-must-be-positive-got
unreachable	internal?	C6-loops-ranges	register {0} out of range	zymbol-vm/src/lib.rs:561	unreachable: VmError::RegisterOutOfRange is declared and never constructed
cell	diagnostic	C7-functions-hof	expression is not callable	zymbol-interpreter/src/functions_lambda.rs:292	runtime-functions-hof/expression-is-not-callable
cell	diagnostic	C7-functions-hof	filter requires array, got {:?}	zymbol-interpreter/src/collection_ops.rs:712	runtime-functions-hof/filter-requires-array-got
cell	diagnostic	C7-functions-hof	filter requires lambda function	zymbol-interpreter/src/collection_ops.rs:678	runtime-functions-hof/filter-requires-lambda-function
unreachable	diagnostic	C7-functions-hof	function expects {} argument(s), got {}	zymbol-compiler/src/lib.rs:2833	unreachable from the CLI: the analyzer reports the same arity mismatch first; the compiler raise_arity is a backstop for running without analysis (its own doc comment)
unreachable	diagnostic	C7-functions-hof	function expects {} arguments, got {}	zymbol-compiler/src/lib.rs:2835	unreachable from the CLI: the analyzer reports the same arity mismatch first; the compiler raise_arity is a backstop for running without analysis (its own doc comment)
cell	diagnostic	C7-functions-hof	lambda expects {} arguments, got {}	zymbol-interpreter/src/functions_lambda.rs:99	runtime-functions-hof/lambda-expects-arguments-got
cell	diagnostic	C7-functions-hof	map requires array, got {:?}	zymbol-interpreter/src/collection_ops.rs:663	runtime-functions-hof/map-requires-array-got
cell	diagnostic	C7-functions-hof	map requires lambda function	zymbol-interpreter/src/collection_ops.rs:640	runtime-functions-hof/map-requires-lambda-function
cell	diagnostic	C7-functions-hof	member function calls not supported	zymbol-interpreter/src/functions_lambda.rs:273	runtime-functions-hof/member-function-calls-not-supported
cell	diagnostic	C7-functions-hof	pipe operator requires a callable function or lambda	zymbol-interpreter/src/expressions.rs:47	runtime-functions-hof/pipe-operator-requires-a-callable-function-or
cell	diagnostic	C7-functions-hof	reduce lambda requires 2 parameters (accumulator, element), got {}	zymbol-interpreter/src/collection_ops.rs:738	runtime-functions-hof/reduce-lambda-requires-2-parameters-accumulator-element
cell	diagnostic	C7-functions-hof	reduce requires array, got {:?}	zymbol-interpreter/src/collection_ops.rs:761	runtime-functions-hof/reduce-requires-array-got
cell	diagnostic	C7-functions-hof	reduce requires lambda function	zymbol-interpreter/src/collection_ops.rs:728	runtime-functions-hof/reduce-requires-lambda-function
unreachable	diagnostic	C7-functions-hof	sort comparator must be a lambda (a, b) -> Bool	zymbol-interpreter/src/collection_ops.rs:782	unreachable: the parser requires a lambda literal after $^ (zymbol-parser collection_ops.rs:463), so the comparator is always a function
cell	diagnostic	C7-functions-hof	sort requires an array, got {:?}	zymbol-interpreter/src/collection_ops.rs:814	runtime-functions-hof/sort-requires-an-array-got
cell	diagnostic	C8-match-patterns	array pattern '[ … ]' requires an array, got {}	zymbol-interpreter/src/lib.rs:1828	runtime-match-patterns/array-pattern-requires-an-array
unreachable	diagnostic	C8-match-patterns	comparison pattern did not produce a boolean	zymbol-interpreter/src/match_stmt.rs:183	unreachable: compare_values only ever returns Ok(Bool) or an error, and == / <> build a Bool directly
cell	diagnostic	C8-match-patterns	no pattern matched in match expression	zymbol-interpreter/src/match_stmt.rs:75	runtime-match-patterns/no-pattern-matched-in-match-expression
cell	diagnostic	C8-match-patterns	tuple pattern '( … )' requires a tuple, got {}	zymbol-interpreter/src/lib.rs:1841	runtime-match-patterns/tuple-pattern-requires-a-tuple
cell	diagnostic	C8-match-patterns	match expression returns values but result is unused	zymbol-semantic/src/type_check.rs:1374	runtime-match-patterns/match-with-values-used-as-a-statement — moved from the tree-walker's runtime to the analyzer on 2026-09-15 (GLB-016); before, its template carried its own `warning:` prefix and reach.py could not count it
unreachable	internal?	C8-match-patterns	unsupported operator in comparison pattern: {:?}	zymbol-interpreter/src/match_stmt.rs:175	unreachable: the parser builds a comparison pattern only with < > <= >= == <>, and all six are handled
cell	diagnostic	C9-modules-scripts	cannot use function in bash command interpolation	zymbol-interpreter/src/script_exec.rs:183	runtime-modules-scripts/bash-function-interpolation
unreachable	diagnostic	C9-modules-scripts	circular dependency detected	zymbol-interpreter/src/lib.rs:62	unreachable: RuntimeError::CircularDependency is declared and matched, never constructed (cycles raise CircularImport)
unreachable	diagnostic	C9-modules-scripts	constant '{}' not exported from module '{}'	zymbol-interpreter/src/lib.rs:2150	unreachable: RuntimeError::ConstantNotExported is never constructed; a missing constant raises `Module 'o' has no constant`
cell	diagnostic	C9-modules-scripts	Runtime error: {}	zymbol-interpreter/src/script_exec.rs:95	runtime-modules-scripts/subscript-runtime-error
unreachable	diagnostic	C9-modules-scripts	failed to run `{}`: {}	zymbol-interpreter/src/script_exec.rs:122	unreachable from a .zy: it needs the shell that zymbol_common::shell found to then fail to start
cell	diagnostic	C9-modules-scripts	function '{}' not exported from module '{}'	zymbol-interpreter/src/lib.rs:2144	runtime-modules-scripts/unexported-function-as-an-error-value — reach.py cannot count it: the text only exists inside the printed `_err` value
n/a	diagnostic	C9-modules-scripts	lexer errors: {0}	zymbol-formatter/src/lib.rs:81	not a runtime diagnostic: FormatError::LexerError, reached by `zymbol fmt`
unreachable	diagnostic	C9-modules-scripts	module '{module}' does not export constant '{constant}'	zymbol-interpreter/src/lib.rs:59	unreachable: the Display of RuntimeError::ConstantNotExported, which is never constructed
cell	diagnostic	C9-modules-scripts	undefined module alias: '{}'	zymbol-interpreter/src/functions_lambda.rs:249	runtime-modules-scripts/undefined-module-alias
cell	diagnostic	C9-modules-scripts	{} lexer error(s) in '{}'\n{}	zymbol-interpreter/src/modules.rs:127	runtime-modules-scripts/module-with-lexer-errors — reach.py cannot count it: the template spans lines
cell	diagnostic	C9-modules-scripts	{} lexer errors in {}	zymbol-interpreter/src/script_exec.rs:54	runtime-modules-scripts/subscript-lexer-errors
cell	diagnostic	C9-modules-scripts	{} parse error(s) in '{}'\n{}	zymbol-compiler/src/lib.rs:748	runtime-modules-scripts/module-with-parse-errors — reach.py cannot count it: the template spans lines
cell	diagnostic	C9-modules-scripts	{} parser errors in {}	zymbol-interpreter/src/script_exec.rs:62	runtime-modules-scripts/subscript-parser-errors
cell	diagnostic	C9-modules-scripts	{} semantic error(s) in '{}'\n{}	zymbol-compiler/src/lib.rs:779	runtime-modules-scripts/module-with-semantic-errors — reach.py cannot count it: the template spans lines
